Date,Clinton,err_Clinton,Trump,err_Trump,Difference,err_diff
2016-10-04,48.0,0.7874007874011811,43.9,1.0339245620450266,4.100000000000001,1.8213253494462078
2016-10-05,47.77777777777778,0.8429486427215587,43.22222222222222,0.8996265038141568,4.555555555555557,1.7425751465357155
2016-10-06,47.9,0.7803845206050669,43.2,0.7974960814950753,4.699999999999996,1.5778806021001421
2016-10-07,47.77777777777778,0.8574694002066834,43.111111111111114,0.8811390558052089,4.666666666666664,1.7386084560118924
2016-10-08,47.8,0.7720103626247513,43.1,0.793095202355934,4.699999999999996,1.5651055649806853
2016-10-09,48.46153846153846,0.7017761457629834,42.38461538461539,0.8033838312642488,6.076923076923073,1.5051599770272324
2016-10-10,47.5,0.8858454843945541,41.666666666666664,0.9598418079539442,5.833333333333336,1.8456872923484984
2016-10-11,48.333333333333336,0.9558139185602921,41.44444444444444,0.9951873216699558,6.888888888888893,1.951001240230248
2016-10-12,48.4,0.8625543461139129,41.4,0.8966604708583958,7.0,1.7592148169723087
2016-10-13,48.75,0.7557648811340439,41.75,0.8343743497708661,7.0,1.59013923090491
2016-10-14,48.7,0.8949860334105779,41.3,0.9386160024205854,7.400000000000006,1.8336020358311633
2016-10-15,48.27272727272727,0.9099169800556196,41.63636363636363,0.9115668762066473,6.63636363636364,1.821483856262267
2016-10-16,49.07692307692308,0.873417679768286,41.46153846153846,0.781558029853331,7.61538461538462,1.6549757096216169
2016-10-17,48.30769230769231,0.9319103963365697,41.61538461538461,0.6840400481239493,6.692307692307693,1.6159504444605188
2016-10-18,49.0,0.8164965809277259,42.166666666666664,0.5753420882557773,6.833333333333336,1.3918386691835032
2016-10-19,49.0,0.8164965809277259,42.166666666666664,0.5753420882557773,6.833333333333336,1.3918386691835032
2016-10-20,49.0,0.8907235428302465,42.27272727272727,0.6177927798687853,6.727272727272727,1.5085163226990317
2016-10-21,48.666666666666664,1.0540925533894598,42.0,0.6085806194501846,6.666666666666664,1.6626731728396444
2016-10-22,48.666666666666664,1.0540925533894598,42.0,0.6085806194501846,6.666666666666664,1.6626731728396444
2016-10-23,49.833333333333336,0.7438015466108824,42.75,0.8003905296791061,7.083333333333336,1.5441920762899883
2016-10-24,49.07692307692308,0.8868636210743287,42.07692307692308,0.9260307767805744,7.0,1.8128943978549033
2016-10-25,48.714285714285715,0.8945901548695383,42.714285714285715,0.8537347209531384,6.0,1.7483248758226768
2016-10-26,48.857142857142854,0.8855826103570258,43.0,0.8921425711997711,5.857142857142854,1.777725181556797
2016-10-27,48.857142857142854,0.8855826103570258,43.0,0.8921425711997711,5.857142857142854,1.777725181556797
2016-10-28,48.53333333333333,0.8837629982280526,43.2,0.8547904226573124,5.333333333333329,1.738553420885365
2016-10-29,48.53333333333333,0.8837629982280526,43.2,0.8547904226573124,5.333333333333329,1.738553420885365
2016-10-30,48.44444444444444,0.7746852097537736,43.44444444444444,0.7421283299819954,5.0,1.516813539735769
2016-10-31,47.5625,0.8430263100135131,43.6875,0.8418671120640121,3.875,1.6848934220775251
2016-11-01,47.214285714285715,0.7366399961752109,45.0,0.5624291338579865,2.2142857142857153,1.2990691300331974
2016-11-02,47.27272727272727,0.7723625780136248,45.09090909090909,0.7972529846684394,2.18181818181818,1.5696155626820643
2016-11-03,46.45454545454545,0.7426069376606699,44.45454545454545,0.9479306419133664,2.0,1.6905375795740363
2016-11-04,46.25,0.7083333333333334,44.083333333333336,0.9388108120067327,2.1666666666666643,1.6471441453400661
2016-11-05,46.583333333333336,0.6918005225229039,43.833333333333336,0.9267126287562375,2.75,1.6185131512791413
2016-11-06,47.0,0.5826715823167509,43.611111111111114,0.6855604577930656,3.3888888888888857,1.2682320401098166
2016-11-07,46.56842105263158,0.5631850771393069,43.61052631578948,0.6579534599830886,2.9578947368421,1.2211385371223955
2016-11-08,46.57647058823529,0.5580198190577332,43.03529411764706,0.583329020173445,3.5411764705882263,1.1413488392311781
